Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
34,"void benchmark_func<double, 256, 8u, 6u>(double, double*) [clone .kd]",0,0,101,246483,246483,4194304,256,0,0,12,24,38144,0x7f695a32c380,0x7f685799b7c0,65536,131738,14913984,477208080265001,477208080185564,477208081710690,477208081774979
35,"void benchmark_func<__half2, 256, 8u, 6u>(__half2, __half2*) [clone .kd]",0,0,104,246483,246483,4194304,256,0,0,12,24,39104,0x7f695a32c200,0x7f685799b800,131072,169554,18956416,477208081787879,477208081710690,477208083174056,477208083238488
36,"void benchmark_func<int, 256, 8u, 6u>(int, int*) [clone .kd]",0,0,107,246483,246483,4194304,256,0,0,8,24,40320,0x7f695a32c080,0x7f685799b840,131072,167904,18669664,477208083251908,477208083174056,477208084696302,477208084765355
37,"void benchmark_func<float, 256, 8u, 7u>(float, float*) [clone .kd]",0,0,110,246483,246483,4194304,256,0,0,12,24,41280,0x7f6958087f00,0x7f685799b880,131072,171782,19258944,477208084786865,477208084696302,477208086136467,477208086200924
38,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 7u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,113,246483,246483,4194304,256,0,0,12,24,42240,0x7f6958087d80,0x7f685799b8c0,131072,168642,18775808,477208086214394,477208086136467,477208087676953,477208087741461
39,"void benchmark_func<double, 256, 8u, 7u>(double, double*) [clone .kd]",0,0,116,246483,246483,4194304,256,0,0,12,24,43200,0x7f6958087c00,0x7f685799b900,65536,109386,12465688,477208087755291,477208087676953,477208089197760,477208089260489
40,"void benchmark_func<__half2, 256, 8u, 7u>(__half2, __half2*) [clone .kd]",0,0,119,246483,246483,4194304,256,0,0,8,24,44160,0x7f6958087a80,0x7f685799b940,131072,172950,19258096,477208089273858,477208089197791,477208090675397,477208090741677
41,"void benchmark_func<int, 256, 8u, 7u>(int, int*) [clone .kd]",0,0,122,246483,246483,4194304,256,0,0,12,24,45376,0x7f6958087900,0x7f685799b980,131072,165766,18677848,477208090754686,477208090675397,477208092206762,477208092273294
42,"void benchmark_func<float, 256, 8u, 8u>(float, float*) [clone .kd]",0,0,125,246483,246483,4194304,256,0,0,12,24,46336,0x7f6958087780,0x7f685799b9c0,131072,167042,18736984,477208092295253,477208092206762,477208093684368,477208093754332
43,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 8u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,128,246483,246483,4194304,256,0,0,12,24,47552,0x7f6958087600,0x7f685799ba00,131072,167350,18753592,477208093768562,477208093684368,477208095247095,477208095311748
44,"void benchmark_func<double, 256, 8u, 8u>(double, double*) [clone .kd]",0,0,131,246483,246483,4194304,256,0,0,12,24,48512,0x7f695a32c480,0x7f685799ba40,65536,128990,14424832,477208095325188,477208095247095,477208096789821,477208096854605
45,"void benchmark_func<__half2, 256, 8u, 8u>(__half2, __half2*) [clone .kd]",0,0,134,246483,246483,4194304,256,0,0,8,24,49472,0x7f695a32c300,0x7f685799ba80,131072,148846,16713480,477208096867775,477208096789821,477208098279587,477208098343964
46,"void benchmark_func<int, 256, 8u, 8u>(int, int*) [clone .kd]",0,0,137,246483,246483,4194304,256,0,0,12,24,50688,0x7f695a32c180,0x7f685799bac0,131072,154608,17340592,477208098356993,477208098279587,477208099798313,477208099862451
47,"void benchmark_func<float, 256, 8u, 9u>(float, float*) [clone .kd]",0,0,140,246483,246483,4194304,256,0,0,12,24,51648,0x7f695a32c000,0x7f685799bb00,131072,192524,21517816,477208099884981,477208099798313,477208101284079,477208101348069
48,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 9u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,143,246483,246483,4194304,256,0,0,12,24,52864,0x7f6958087e80,0x7f685799bb40,131072,166526,18725888,477208101361609,477208101284079,477208102843445,477208102907476
49,"void benchmark_func<double, 256, 8u, 9u>(double, double*) [clone .kd]",0,0,146,246483,246483,4194304,256,0,0,12,24,54080,0x7f6958087d00,0x7f685799bb80,65536,135072,14975624,477208102921005,477208102843445,477208104384251,477208104449573
50,"void benchmark_func<__half2, 256, 8u, 9u>(__half2, __half2*) [clone .kd]",0,0,149,246483,246483,4194304,256,0,0,8,24,55296,0x7f6958087b80,0x7f685799bbc0,131072,166956,18779120,477208104463612,477208104384251,477208105877697,477208105941571
51,"void benchmark_func<int, 256, 8u, 9u>(int, int*) [clone .kd]",0,0,152,246483,246483,4194304,256,0,0,12,24,56768,0x7f6958087a00,0x7f685799bc00,131072,172142,19212944,477208105954830,477208105877697,477208107400264,477208107464678
52,"void benchmark_func<float, 256, 8u, 10u>(float, float*) [clone .kd]",0,0,155,246483,246483,4194304,256,0,0,12,24,57728,0x7f6958087880,0x7f685799bc40,131072,195658,21886688,477208107485487,477208107400264,477208108886350,477208108950126
53,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 10u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,158,246483,246483,4194304,256,0,0,12,24,58944,0x7f6958087700,0x7f685799bc80,131072,148742,16711552,477208108964446,477208108886350,477208110459956,477208110529192
54,"void benchmark_func<double, 256, 8u, 10u>(double, double*) [clone .kd]",0,0,161,246483,246483,4194304,256,0,0,12,24,60160,0x7f695a32c580,0x7f685799bcc0,65536,154950,17338872,477208110542542,477208110459956,477208112002042,477208112070409
55,"void benchmark_func<__half2, 256, 8u, 10u>(__half2, __half2*) [clone .kd]",0,0,164,246483,246483,4194304,256,0,0,8,24,61376,0x7f695a32c400,0x7f685799bd00,131072,166364,18638528,477208112084378,477208112002042,477208113512928,477208113575466
