Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
33,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 6u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,98,248167,248167,4194304,256,0,0,12,24,37184,0x7fc114adc500,0x7fc01219b780,524288,18209678,2039501156,477232934438960,477232934387630,477232935927957,477232935964397
34,"void benchmark_func<double, 256, 8u, 6u>(double, double*) [clone .kd]",0,0,101,248167,248167,4194304,256,0,0,12,24,38144,0x7fc114adc380,0x7fc01219b7c0,524288,17443058,1953631708,477232935977587,477232935927957,477232937453883,477232937490275
35,"void benchmark_func<__half2, 256, 8u, 6u>(__half2, __half2*) [clone .kd]",0,0,104,248167,248167,4194304,256,0,0,12,24,39104,0x7fc114adc200,0x7fc01219b800,524288,26033573,2915722500,477232937504214,477232937453883,477232938916769,477232938953363
36,"void benchmark_func<int, 256, 8u, 6u>(int, int*) [clone .kd]",0,0,107,248167,248167,4194304,256,0,0,8,24,40320,0x7fc114adc080,0x7fc01219b840,524288,30365442,3400966456,477232938967783,477232938916769,477232940444776,477232940482210
37,"void benchmark_func<float, 256, 8u, 7u>(float, float*) [clone .kd]",0,0,110,248167,248167,4194304,256,0,0,12,24,41280,0x7fc11282df00,0x7fc01219b880,524288,23450664,2626438280,477232940503700,477232940444776,477232941886862,477232941900390
38,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 7u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,113,248167,248167,4194304,256,0,0,12,24,42240,0x7fc11282dd80,0x7fc01219b8c0,524288,18002248,2016282660,477232941926339,477232941886862,477232943419189,477232943456786
39,"void benchmark_func<double, 256, 8u, 7u>(double, double*) [clone .kd]",0,0,116,248167,248167,4194304,256,0,0,12,24,43200,0x7fc11282dc00,0x7fc01219b900,524288,16898205,1892576104,477232943469936,477232943419189,477232944936796,477232944975534
40,"void benchmark_func<__half2, 256, 8u, 7u>(__half2, __half2*) [clone .kd]",0,0,119,248167,248167,4194304,256,0,0,8,24,44160,0x7fc11282da80,0x7fc01219b940,524288,26021871,2914439948,477232944989643,477232944936817,477232946401623,477232946438092
41,"void benchmark_func<int, 256, 8u, 7u>(int, int*) [clone .kd]",0,0,122,248167,248167,4194304,256,0,0,12,24,45376,0x7fc11282d900,0x7fc01219b980,524288,30655434,3433368004,477232946451532,477232946401623,477232947927870,477232947968889
42,"void benchmark_func<float, 256, 8u, 8u>(float, float*) [clone .kd]",0,0,125,248167,248167,4194304,256,0,0,12,24,46336,0x7fc11282d780,0x7fc01219b9c0,524288,27395868,3068221568,477232947989599,477232947927870,477232949408036,477232949421578
