Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
26,"void benchmark_func<int, 256, 8u, 4u>(int, int*) [clone .kd]",0,0,77,246845,246845,4194304,256,0,0,8,24,30976,0x7f9f7b44df80,0x7f9e7ad9b5c0,1382248,1382248,1015596,11057992,65536,172826037,3000749,0,693048660,477210381827643,477210381749691,477210383235299,477210383299672
27,"void benchmark_func<float, 256, 8u, 5u>(float, float*) [clone .kd]",0,0,80,246845,246845,4194304,256,0,0,12,24,31680,0x7f9f7b44de00,0x7f9e7ad9b600,1269748,1269748,1013643,10157992,65536,130431153,2033235,0,523478424,477210383324681,477210383235299,477210384649386,477210384714991
28,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 5u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,83,246845,246845,4194304,256,0,0,16,24,32640,0x7f9f7b44dc80,0x7f9e7ad9b640,1505280,1505280,1017621,12042248,65536,168478592,3951578,0,675655472,477210384729371,477210384649386,477210386211794,477210386275418
29,"void benchmark_func<double, 256, 8u, 5u>(double, double*) [clone .kd]",0,0,86,246845,246845,4194304,256,0,0,12,24,33600,0x7f9f7b44db00,0x7f9e7ad9b680,1466726,1466726,1016610,11733816,65536,202526358,3648978,0,811844880,477210386290827,477210386211794,477210387744762,477210387809145
30,"void benchmark_func<__half2, 256, 8u, 5u>(__half2, __half2*) [clone .kd]",0,0,89,246845,246845,4194304,256,0,0,12,24,34560,0x7f9f7b44d980,0x7f9e7ad9b6c0,1320824,1320824,1014015,10566600,65536,159624028,2506012,0,640261148,477210387827754,477210387744762,477210389194209,477210389255883
31,"void benchmark_func<int, 256, 8u, 5u>(int, int*) [clone .kd]",0,0,92,246845,246845,4194304,256,0,0,8,24,35520,0x7f9f7b44d800,0x7f9e7ad9b700,1412933,1412933,1015275,11303472,65536,180176214,3219414,0,722453072,477210389271443,477210389194209,477210390693417,477210390755931
32,"void benchmark_func<float, 256, 8u, 6u>(float, float*) [clone .kd]",0,0,95,246845,246845,4194304,256,0,0,12,24,36224,0x7f9f7b44d680,0x7f9e7ad9b740,1313518,1313518,1014371,10508152,65536,154680767,2444224,0,620468192,477210390779051,477210390693417,477210392137904,477210392202660
33,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 6u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,98,246845,246845,4194304,256,0,0,12,24,37184,0x7f9f7d6ea500,0x7f9e7ad9b780,1500266,1500266,1017606,12002136,65536,190682162,3881409,0,764476156,477210392219340,477210392137904,477210393691192,477210393754837
34,"void benchmark_func<double, 256, 8u, 6u>(double, double*) [clone .kd]",0,0,101,246845,246845,4194304,256,0,0,12,24,38144,0x7f9f7d6ea380,0x7f9e7ad9b7c0,1470712,1470712,1017239,11765704,65536,212061701,3726254,0,849985984,477210393769777,477210393691192,477210395233280,477210395297254
35,"void benchmark_func<__half2, 256, 8u, 6u>(__half2, __half2*) [clone .kd]",0,0,104,246845,246845,4194304,256,0,0,12,24,39104,0x7f9f7d6ea200,0x7f9e7ad9b800,1370260,1370260,1015933,10962088,65536,177093702,2875487,0,710127216,477210395312434,477210395233280,477210396707847,477210396774122
36,"void benchmark_func<int, 256, 8u, 6u>(int, int*) [clone .kd]",0,0,107,246845,246845,4194304,256,0,0,8,24,40320,0x7f9f7d6ea080,0x7f9e7ad9b840,1468756,1468756,1016685,11750056,65536,184566943,3696323,0,740045384,477210396788652,477210396707847,477210398251535,477210398315889
37,"void benchmark_func<float, 256, 8u, 7u>(float, float*) [clone .kd]",0,0,110,246845,246845,4194304,256,0,0,12,24,41280,0x7f9f7b44df00,0x7f9e7ad9b880,1321704,1321704,1014480,10573640,65536,154239147,2469522,0,618703660,477210398341699,477210398251535,477210399696662,477210399760448
38,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 7u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,113,246845,246845,4194304,256,0,0,12,24,42240,0x7f9f7b44dd80,0x7f9e7ad9b8c0,1500394,1500394,1017932,12003160,65536,187474567,3920400,0,751648344,477210399775868,477210399696662,477210401256350,477210401320565
39,"void benchmark_func<double, 256, 8u, 7u>(double, double*) [clone .kd]",0,0,116,246845,246845,4194304,256,0,0,12,24,43200,0x7f9f7b44dc00,0x7f9e7ad9b900,1508576,1508576,1017356,12068616,65536,186534669,3963049,0,747886844,477210401337314,477210401256350,477210402814598,477210402879341
40,"void benchmark_func<__half2, 256, 8u, 7u>(__half2, __half2*) [clone .kd]",0,0,119,246845,246845,4194304,256,0,0,8,24,44160,0x7f9f7b44da80,0x7f9e7ad9b940,1378426,1378426,1015389,11027416,65536,171972833,2951495,0,689657268,477210402895501,477210402814194,477210404298200,477210404364319
41,"void benchmark_func<int, 256, 8u, 7u>(int, int*) [clone .kd]",0,0,122,246845,246845,4194304,256,0,0,12,24,45376,0x7f9f7b44d900,0x7f9e7ad9b980,1478181,1478181,1016033,11825456,65536,181882002,3760177,0,729293328,477210404380439,477210404298200,477210405843006,477210405913756
42,"void benchmark_func<float, 256, 8u, 8u>(float, float*) [clone .kd]",0,0,125,246845,246845,4194304,256,0,0,12,24,46336,0x7f9f7b44d780,0x7f9e7ad9b9c0,1390722,1390722,1015247,11125784,65536,183738115,3046593,0,736726200,477210405937275,477210405843006,477210407332773,477210407394754
43,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 8u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,128,246845,246845,4194304,256,0,0,12,24,47552,0x7f9f7b44d600,0x7f9e7ad9ba00,1511660,1511660,1018534,12093288,65536,212756976,4008150,0,852771700,477210407410924,477210407332773,477210408899820,477210408966790
44,"void benchmark_func<double, 256, 8u, 8u>(double, double*) [clone .kd]",0,0,131,246845,246845,4194304,256,0,0,12,24,48512,0x7f9f7d6ea480,0x7f9e7ad9ba40,1494162,1494162,1018025,11953304,65536,237833505,3914759,0,953074952,477210408982370,477210408899820,477210410455666,477210410519617
45,"void benchmark_func<__half2, 256, 8u, 8u>(__half2, __half2*) [clone .kd]",0,0,134,246845,246845,4194304,256,0,0,8,24,49472,0x7f9f7d6ea300,0x7f9e7ad9ba80,1400372,1400372,1020893,11202984,65536,178677218,3114500,0,716466720,477210410534876,477210410455666,477210411953753,477210412074083
46,"void benchmark_func<int, 256, 8u, 8u>(int, int*) [clone .kd]",0,0,137,246845,246845,4194304,256,0,0,12,24,50688,0x7f9f7d6ea180,0x7f9e7ad9bac0,1448793,1448793,1016700,11590352,65536,176426006,3526286,0,707490180,477210412089343,477210411953753,477210413480160,477210413547352
47,"void benchmark_func<float, 256, 8u, 9u>(float, float*) [clone .kd]",0,0,140,246845,246845,4194304,256,0,0,12,24,51648,0x7f9f7d6ea000,0x7f9e7ad9bb00,1395602,1395602,1015577,11164824,65536,173825574,3104373,0,697060864,477210413571211,477210413480160,477210414975526,477210415054650
48,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 9u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,143,246845,246845,4194304,256,0,0,12,24,52864,0x7f9f7b44de80,0x7f9e7ad9bb40,1526249,1526249,1016597,12210000,65536,212246410,4168315,0,850751904,477210415069719,477210414975526,477210416548973,477210416650796
49,"void benchmark_func<double, 256, 8u, 9u>(double, double*) [clone .kd]",0,0,146,246845,246845,4194304,256,0,0,12,24,54080,0x7f9f7b44dd00,0x7f9e7ad9bb80,1530756,1530756,1017752,12246056,65536,200224422,4174956,0,802643576,477210416666615,477210416548973,477210418127060,477210418230212
50,"void benchmark_func<__half2, 256, 8u, 9u>(__half2, __half2*) [clone .kd]",0,0,149,246845,246845,4194304,256,0,0,8,24,55296,0x7f9f7b44db80,0x7f9e7ad9bbc0,1420588,1420588,1015930,11364712,65536,177174175,3307710,0,710493176,477210418246481,477210418127060,477210419634426,477210419736479
51,"void benchmark_func<int, 256, 8u, 9u>(int, int*) [clone .kd]",0,0,152,246845,246845,4194304,256,0,0,12,24,56768,0x7f9f7b44da00,0x7f9e7ad9bc00,1447914,1447914,1016424,11583320,65536,192203594,3532085,0,770578456,477210419752329,477210419634426,477210421162433,477210421255257
52,"void benchmark_func<float, 256, 8u, 10u>(float, float*) [clone .kd]",0,0,155,246845,246845,4194304,256,0,0,12,24,57728,0x7f9f7b44d880,0x7f9e7ad9bc40,1389648,1389648,1015342,11117192,65536,181391667,3047153,0,727316248,477210421281026,477210421162433,477210422652199,477210422742755
53,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 10u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,158,246845,246845,4194304,256,0,0,12,24,58944,0x7f9f7b44d700,0x7f9e7ad9bc80,1539374,1539374,1017938,12315000,65536,195359560,4213408,0,783185680,477210422758414,477210422652199,477210424235886,477210424328330
54,"void benchmark_func<double, 256, 8u, 10u>(double, double*) [clone .kd]",0,0,161,246845,246845,4194304,256,0,0,12,24,60160,0x7f9f7d6ea580,0x7f9e7ad9bcc0,1495264,1495264,1017597,11962120,65536,233508084,3944508,0,935782496,477210424344520,477210424235886,477210425790773,477210425879407
55,"void benchmark_func<__half2, 256, 8u, 10u>(__half2, __half2*) [clone .kd]",0,0,164,246845,246845,4194304,256,0,0,8,24,61376,0x7f9f7d6ea400,0x7f9e7ad9bd00,1413216,1413216,1016502,11305736,65536,176499019,3231880,0,707755168,477210425895277,477210425790773,477210427296219,477210427365115
56,"void benchmark_func<int, 256, 8u, 10u>(int, int*) [clone .kd]",0,0,167,246845,246845,4194304,256,0,0,12,24,62848,0x7f9f7d6ea280,0x7f9e7ad9bd40,1442620,1442620,1015893,11540968,65536,197427470,3501015,0,791497424,477210427379395,477210427296219,477210428819266,477210428918402
57,"void benchmark_func<float, 256, 8u, 11u>(float, float*) [clone .kd]",0,0,170,246845,246845,4194304,256,0,0,12,24,63808,0x7f9f7d6ea100,0x7f9e7ad9bd80,1390396,1390396,1016254,11123176,65536,184752766,3074814,0,740769188,477210428943231,477210428819266,477210430311912,477210430401170
58,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 11u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,173,246845,246845,4194304,256,0,0,12,24,65024,0x7f9f7b44df80,0x7f9e7ad9bdc0,1530510,1530510,1018226,12244088,65536,205623015,4160614,0,824247368,477210430414610,477210430311912,477210431888879,477210431956246
59,"void benchmark_func<double, 256, 8u, 11u>(double, double*) [clone .kd]",0,0,176,246845,246845,4194304,256,0,0,12,24,66240,0x7f9f7b44de00,0x7f9e7ad9be00,1504894,1504894,1016356,12039160,65536,231293343,3994814,0,926913972,477210431971196,477210431888879,477210433450486,477210433516333
